bid	query0	query1	query2	query3	query4	query5	query6	query7
b1	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b2	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b3	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b4	ok0/f_	ok1/d+	ok1/d+	ok1/d+	ok1/d+	ok1/d+	ok1/d+	ok1/d+
b5	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b6	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b7	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b8	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b9	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b12	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b13	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b14	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b15	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b17	sil/f-	ok0/q_	sil/f-	sil/f-	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b18	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b19	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
b21	ok0/f_	ok0/q_	ok0/f_	ok0/f_	ok0/f_	ok0/f_	ok0/q_	ok0/q_
